dimention,mpageid,Y-Image Dimentions,X-Image Dimentions
"(200, 200)",M88952552.jpg,200,200
"(200, 268)",M89031875.jpg,268,200
"(200, 142)",M89055347.jpg,142,200
"(200, 131)",M89154532.jpg,131,200
"(200, 113)",M89450414.jpg,113,200
"(200, 150)",M89569673.jpg,150,200
"(200, 133)",M89593611.jpg,133,200
"(200, 267)",M89593612.jpg,267,200
"(200, 133)",M89610281.jpg,133,200
"(200, 411)",M89755782.jpg,411,200
"(200, 267)",M89846421.jpg,267,200
"(200, 296)",M89864217.jpg,296,200
"(200, 303)",M89866019.jpg,303,200
"(200, 356)",M89890443.jpg,356,200
"(200, 202)",M90007700.png,202,200
"(200, 267)",M90043488.jpg,267,200
"(200, 150)",M90098471.jpg,150,200
"(200, 150)",M90141799.jpg,150,200
"(200, 128)",M90162818.jpg,128,200
"(200, 133)",M90163141.jpg,133,200
"(200, 150)",M90177371.jpg,150,200
"(200, 300)",M90190934.jpg,300,200
"(200, 279)",M90246624.jpg,279,200
"(200, 267)",M90256455.jpg,267,200
"(200, 267)",M90258816.jpg,267,200
"(200, 267)",M90262069.jpg,267,200
"(200, 267)",M90341732.jpg,267,200
"(200, 92)",M90514108.jpg,92,200
"(200, 112)",M90524087.jpg,112,200
"(200, 267)",M90677408.jpg,267,200
"(200, 133)",M90687994.jpg,133,200
"(200, 130)",M90752962.jpg,130,200
"(200, 356)",M90876874.jpg,356,200
"(200, 158)",M90890318.jpg,158,200
"(200, 267)",M90890427.jpg,267,200
"(200, 267)",M91024502.jpg,267,200
"(200, 112)",M91082556.png,112,200
"(200, 260)",M91119998.jpg,260,200
"(200, 122)",M91293080.jpg,122,200
"(200, 200)",M91399065.png,200,200
"(200, 267)",M91491664.jpg,267,200
"(200, 112)",M91682698.jpg,112,200
"(200, 112)",M91956587.jpg,112,200
"(200, 152)",M91958313.png,152,200
"(200, 300)",M92009310.jpg,300,200
"(200, 133)",M92068369.jpg,133,200
"(200, 150)",M92098745.jpg,150,200
"(200, 408)",M92197987.jpg,408,200
"(200, 150)",M92270370.jpg,150,200
"(200, 434)",M92384572.jpg,434,200
"(200, 157)",M92510586.jpg,157,200
"(200, 133)",M9437797.jpg,133,200
"(200, 132)",M9519026.jpg,132,200
"(200, 123)",M9545036.jpg,123,200
"(200, 118)",M9617030.JPG,118,200
"(200, 151)",M9809267.jpg,151,200
